id_full;island;id;morph;chela;chela_id
TR_75_HE_large;TR;75;HE;large;one
TR_76_HE_large;TR;76;HE;large;one
TR_77_HE_large;TR;77;HE;large;one
TR_07_HE_small;TR;7;HE;small;two
TR_10_HE_small;TR;10;HE;small;one
TR_30_HE_small;TR;30;HE;small;one
TR_31_HE_small;TR;31;HE;small;two
TR_32_HE_small;TR;32;HE;small;one
TR_48_HE_small;TR;48;HE;small;two
TR_59_HE_small;TR;59;HE;small;one
TR_60_HE_small;TR;60;HE;small;one
TR_63_HE_small;TR;63;HE;small;two
TR_64_HE_small;TR;64;HE;small;two
TR_65_HE_small;TR;65;HE;small;one
TR_66_HE_small;TR;66;HE;small;two
TR_67_HE_small;TR;67;HE;small;two
TR_68_HE_small;TR;68;HE;small;two
TR_69_HE_small;TR;69;HE;small;one
TR_71_HE_small;TR;71;HE;small;one
TR_72_HE_small;TR;72;HE;small;one
TR_75_HE_small;TR;75;HE;small;two
TR_76_HE_small;TR;76;HE;small;two
TR_77_HE_small;TR;77;HE;small;two
TR_78_HE_large;TR;78;HE;large;one
TR_79_HE_large;TR;79;HE;large;two
TR_80_HE_large;TR;80;HE;large;one
TR_84_HE_large;TR;84;HE;large;two
TR_85_HE_large;TR;85;HE;large;two
TR_90_HE_large;TR;90;HE;large;one
TR_93_HE_large;TR;93;HE;large;two
TR_97_HE_large;TR;97;HE;large;two
TR_99_HE_large;TR;99;HE;large;one
TR_102_HE_large;TR;102;HE;large;one
TR_104_HE_large;TR;104;HE;large;two
TR_114_HE_large;TR;114;HE;large;two
TR_117_HE_large;TR;117;HE;large;one
TR_121_HE_large;TR;121;HE;large;one
TR_122_HE_large;TR;122;HE;large;one
TR_125_HE_large;TR;125;HE;large;one
TR_130_HE_large;TR;130;HE;large;one
TR_132_HE_large;TR;132;HE;large;two
TR_129_HE_large;TR;129;HE;large;one
TR_136_HE_large;TR;136;HE;large;one
TR_137_HE_large;TR;137;HE;large;two
TR_78_HE_small;TR;78;HE;small;two
TR_79_HE_small;TR;79;HE;small;one
TR_80_HE_small;TR;80;HE;small;two
TR_84_HE_small;TR;84;HE;small;one
TR_85_HE_small;TR;85;HE;small;one
TR_90_HE_small;TR;90;HE;small;two
TR_93_HE_small;TR;93;HE;small;one
TR_97_HE_small;TR;97;HE;small;one
TR_99_HE_small;TR;99;HE;small;two
TR_102_HE_small;TR;102;HE;small;two
TR_104_HE_small;TR;104;HE;small;one
TR_114_HE_small;TR;114;HE;small;one
TR_117_HE_small;TR;117;HE;small;two
TR_121_HE_small;TR;121;HE;small;two
TR_122_HE_small;TR;122;HE;small;two
TR_125_HE_small;TR;125;HE;small;two
TR_130_HE_small;TR;130;HE;small;two
TR_132_HE_small;TR;132;HE;small;one
TR_129_HE_small;TR;129;HE;small;two
TR_136_HE_small;TR;136;HE;small;two
TR_137_HE_small;TR;137;HE;small;one
TR_81_HO_left;TR;81;HO;left;one
TR_86_HO_left;TR;86;HO;left;two
TR_87_HO_left;TR;87;HO;left;two
TR_88_HO_left;TR;88;HO;left;one
TR_89_HO_left;TR;89;HO;left;two
TR_92_HO_left;TR;92;HO;left;two
TR_94_HO_left;TR;94;HO;left;two
TR_95_HO_left;TR;95;HO;left;two
TR_96_HO_left;TR;96;HO;left;two
TR_109_HO_left;TR;109;HO;left;one
TR_110_HO_left;TR;110;HO;left;two
TR_111_HO_left;TR;111;HO;left;one
TR_112_HO_left;TR;112;HO;left;two
TR_115_HO_left;TR;115;HO;left;two
TR_116_HO_left;TR;116;HO;left;two
TR_123_HO_left;TR;123;HO;left;two
TR_124_HO_left;TR;124;HO;left;one
TR_126_HO_left;TR;126;HO;left;two
TR_128_HO_left;TR;128;HO;left;one
TR_131_HO_left;TR;131;HO;left;one
TR_133_HO_left;TR;133;HO;left;two
TR_134_HO_left;TR;134;HO;left;one
TR_135_HO_left;TR;135;HO;left;two
TR_138_HO_left;TR;138;HO;left;one
TR_81_HO_right;TR;81;HO;right;two
TR_86_HO_right;TR;86;HO;right;one
TR_87_HO_right;TR;87;HO;right;one
TR_88_HO_right;TR;88;HO;right;two
TR_89_HO_right;TR;89;HO;right;one
TR_92_HO_right;TR;92;HO;right;one
TR_94_HO_right;TR;94;HO;right;one
TR_95_HO_right;TR;95;HO;right;one
TR_96_HO_right;TR;96;HO;right;one
TR_109_HO_right;TR;109;HO;right;two
TR_110_HO_right;TR;110;HO;right;one
TR_111_HO_right;TR;111;HO;right;two
TR_112_HO_right;TR;112;HO;right;one
TR_115_HO_right;TR;115;HO;right;one
TR_116_HO_right;TR;116;HO;right;one
TR_123_HO_right;TR;123;HO;right;one
TR_124_HO_right;TR;124;HO;right;two
TR_126_HO_right;TR;126;HO;right;one
TR_128_HO_right;TR;128;HO;right;two
TR_131_HO_right;TR;131;HO;right;two
TR_133_HO_right;TR;133;HO;right;one
TR_134_HO_right;TR;134;HO;right;two
TR_135_HO_right;TR;135;HO;right;one
TR_138_HO_right;TR;138;HO;right;two
